hanzi,sentence,en,th
叔叔,叔叔在北京工作。,Uncle works in Beijing.,ลุงทำงานอยู่ที่ปักกิ่ง
舒服,这张床很舒服。,This bed is very comfortable.,เตียงนี้นอนสบายมาก
树,门前有一棵大树。,There is a big tree in front of the door.,หน้าประตูมีต้นไม้ใหญ่อยู่ต้นหนึ่ง
树上,树上有很多鸟。,There are many birds in the tree.,บนต้นไม้มีนกเยอะมาก
数学,我的数学成绩不错。,My math grades are pretty good.,คะแนนคณิตศาสตร์ของฉันค่อนข้างดี
数学课,我们下午有数学课。,We have math class this afternoon.,ตอนบ่ายเรามีวิชาคณิตศาสตร์
数学题,这道数学题很难。,This math problem is very hard.,โจทย์คณิตศาสตร์ข้อนี้ยากมาก
刷,他每天刷牙两次。,He brushes his teeth twice a day.,เขาแปรงฟันวันละสองครั้ง
刷牙,睡觉前要刷牙。,You should brush your teeth before bed.,ก่อนนอนต้องแปรงฟัน
双,我有一双新鞋。,I have a new pair of shoes.,ฉันมีรองเท้าคู่ใหม่
水平,他的汉语水平很高。,His Chinese level is very high.,ระดับภาษาจีนของเขาสูงมาก
睡着,孩子已经睡着了。,The child has already fallen asleep.,เด็กหลับไปแล้ว
司,他在一家公司工作。,He works at a company.,เขาทำงานอยู่ที่บริษัทแห่งหนึ่ง
司机,我爸爸是司机。,My dad is a driver.,พ่อของฉันเป็นคนขับรถ
送到,快递已经送到了。,The package has already been delivered.,พัสดุมาถึงแล้ว
送给,我把礼物送给她。,I gave the gift to her.,ฉันมอบของขวัญให้เธอ
送礼物,我要送礼物给她。,I want to give her a gift.,ฉันจะให้ของขวัญเธอ
他家,他家离学校很近。,His home is close to the school.,บ้านเขาอยู่ใกล้โรงเรียนมาก
它们,我有两只猫，它们很可爱。,I have two cats; they are very cute.,ฉันมีแมวสองตัว พวกมันน่ารักมาก
她家,她家离学校很近。,Her home is close to school.,บ้านเธออยู่ใกล้โรงเรียนมาก
太饱,我吃得太饱了。,I ate too much and I'm too full.,ฉันกินอิ่มเกินไป
太短,这条裤子太短了。,These pants are too short.,กางเกงตัวนี้สั้นเกินไป
太好了,太好了，我们赢了！,"Great, we won!",เยี่ยมเลย เราชนะแล้ว
太旧,这辆车太旧了。,This car is too old.,รถคันนี้เก่าเกินไปแล้ว
太胖,他觉得自己太胖了。,He thinks he's too fat.,เขารู้สึกว่าตัวเองอ้วนเกินไป
太小,这件衣服太小了。,This piece of clothing is too small.,เสื้อผ้าตัวนี้เล็กเกินไป
太阳,今天太阳很大。,The sun is very strong today.,วันนี้แดดแรงมาก
太阳镜,他戴着太阳镜。,He's wearing sunglasses.,เขาสวมแว่นกันแดด
糖,孩子喜欢吃糖。,Children like eating sweets.,เด็กๆ ชอบกินขนมหวาน
特,这个礼物很特别。,This gift is very special.,ของขวัญชิ้นนี้พิเศษมาก
特别,这道菜特别好吃。,This dish is especially delicious.,อาหารจานนี้อร่อยเป็นพิเศษ
疼,我的头很疼。,My head hurts a lot.,หัวของฉันปวดมาก
踢足球,他每天下午踢足球。,He plays football every afternoon.,เขาเล่นฟุตบอลทุกบ่าย
提高,他想提高汉语水平。,He wants to improve his Chinese level.,เขาอยากพัฒนาระดับภาษาจีนของตัวเอง
体,他的身体很好。,His health is very good.,สุขภาพของเขาดีมาก
体育,我喜欢体育课。,I like PE class.,ฉันชอบวิชาพลศึกษา
体育馆,我们在体育馆打球。,We play ball at the gym.,เราเล่นบอลกันในโรงยิม
体育新闻,我喜欢看体育新闻。,I like watching sports news.,ฉันชอบดูข่าวกีฬา
天冷,天冷了，要穿外套。,"It's cold now, you should wear a coat.",อากาศหนาวแล้ว ต้องใส่เสื้อคลุม
天阴,天阴了，好像要下雨。,"The sky is overcast, it looks like it will rain.",ท้องฟ้าครึ้ม ดูเหมือนฝนจะตก
甜,这个西瓜很甜。,This watermelon is very sweet.,แตงโมลูกนี้หวานมาก
条,我买了一条鱼。,I bought a fish.,ฉันซื้อปลามาหนึ่งตัว
听懂,我听懂了老师的话。,I understood what the teacher said.,ฉันฟังที่ครูพูดเข้าใจแล้ว
听歌,我喜欢听歌。,I like listening to music.,ฉันชอบฟังเพลง
同事,他是我的同事。,He is my colleague.,เขาเป็นเพื่อนร่วมงานของฉัน
同一个,我们在同一个班。,We are in the same class.,เราอยู่ห้องเดียวกัน
同意,我同意你的看法。,I agree with your opinion.,ฉันเห็นด้วยกับความคิดเห็นของคุณ
头发,她的头发很长。,Her hair is very long.,ผมของเธอยาวมาก
突然,天突然下雨了。,It suddenly started to rain.,ฝนตกลงมาอย่างกะทันหัน
图书馆,我们去图书馆看书。,Let's go to the library to read.,เราไปอ่านหนังสือที่ห้องสมุด
腿,他的腿很疼。,His leg hurts a lot.,ขาของเขาปวดมาก
腿脚,奶奶的腿脚还很好。,Grandma's legs are still strong.,ขาของคุณยายยังแข็งแรงดีอยู่
腿疼,我腿疼，不想走路。,"My leg hurts, I don't want to walk.",ขาฉันปวด ไม่อยากเดิน
外,猫在门外叫。,The cat is meowing outside the door.,แมวร้องอยู่นอกประตู
完成,他已经完成作业了。,He has already finished his homework.,เขาทำการบ้านเสร็จแล้ว
玩,孩子们在公园玩。,The children are playing in the park.,เด็กๆ เล่นอยู่ในสวนสาธารณะ
碗,桌子上有一个碗。,There is a bowl on the table.,บนโต๊ะมีชามอยู่ใบหนึ่ง
碗筷,妈妈在洗碗筷。,Mom is washing the bowls and chopsticks.,แม่กำลังล้างชามและตะเกียบ
万,这座城市有一万人。,This city has ten thousand people.,เมืองนี้มีประชากรหนึ่งหมื่นคน
万年前,这是万年前的石头。,This is a stone from ten thousand years ago.,นี่คือหินจากหมื่นปีก่อน
王经理,王经理在开会。,Manager Wang is in a meeting.,ผู้จัดการหวังกำลังประชุมอยู่
王小姐,王小姐是我朋友。,Miss Wang is my friend.,คุณหวังเป็นเพื่อนของฉัน
网上,我在网上买东西。,I buy things online.,ฉันซื้อของทางอินเทอร์เน็ต
忘,我忘了他的名字。,I forgot his name.,ฉันลืมชื่อของเขาไปแล้ว
忘带,我忘带手机了。,I forgot to bring my phone.,ฉันลืมเอาโทรศัพท์มา
忘记,我忘记他的名字了。,I forgot his name.,ฉันลืมชื่อของเขาไปแล้ว
为了,为了健康他每天跑步。,"For the sake of his health, he runs every day.",เพื่อสุขภาพเขาวิ่งออกกำลังกายทุกวัน
为什么,你为什么不高兴？,Why are you unhappy?,ทำไมคุณถึงไม่มีความสุข
位,这个位置很好。,This location is quite good.,ตำแหน่งนี้ดีมาก
文,他每天学中文。,He studies Chinese every day.,เขาเรียนภาษาจีนทุกวัน
文化,我喜欢中国文化。,I like Chinese culture.,ฉันชอบวัฒนธรรมจีน
文化节,学校举办文化节。,The school is holding a culture festival.,โรงเรียนจัดงานเทศกาลวัฒนธรรม
闻,我闻到了花香。,I smelled the fragrance of flowers.,ฉันได้กลิ่นหอมของดอกไม้
问路,他向我问路。,He asked me for directions.,เขาถามทางฉัน
我家,我家离学校很近。,My home is close to the school.,บ้านฉันอยู่ใกล้โรงเรียนมาก
五颜六色,花园里的花五颜六色。,The flowers in the garden are multicolored.,ดอกไม้ในสวนมีสีสันหลากหลาย
舞,她跳舞跳得很好。,She dances very well.,เธอเต้นรำได้เก่งมาก
西,太阳从西边落下。,The sun sets in the west.,พระอาทิตย์ตกทางทิศตะวันตก
西边,太阳从西边落下。,The sun sets in the west.,พระอาทิตย์ตกทางทิศตะวันตก
习惯,我习惯早起。,I'm used to getting up early.,ฉันเคยชินกับการตื่นเช้า
洗过澡,我已经洗过澡了。,I've already taken a shower.,ฉันอาบน้ำเสร็จแล้ว
洗脸,我起床后洗脸。,I wash my face after getting up.,ฉันล้างหน้าหลังตื่นนอน
洗手间,洗手间在哪里？,Where is the restroom?,ห้องน้ำอยู่ที่ไหน
洗完,他洗完衣服了。,He finished washing the clothes.,เขาซักเสื้อผ้าเสร็จแล้ว
洗碗,我每天洗碗。,I wash the dishes every day.,ฉันล้างจานทุกวัน
洗洗,你去洗洗手吧。,Go wash your hands a bit.,ไปล้างมือหน่อยสิ
洗澡,我每天洗澡。,I take a shower every day.,ฉันอาบน้ำทุกวัน
系,他是中文系的学生。,He is a student in the Chinese department.,เขาเป็นนักศึกษาคณะภาษาจีน
下层,我们住在下层。,We live on the lower floor.,เราอาศัยอยู่ชั้นล่าง
下次,下次我们一起去。,Let's go together next time.,ครั้งหน้าเราไปด้วยกัน
下个星期,下个星期我要出差。,Next week I have a business trip.,สัปดาห์หน้าฉันต้องไปทำงานต่างจังหวัด
下来,请你下来吃饭。,Please come down and eat.,เชิญลงมากินข้าว
下去,请你先下去吧。,Please go down first.,เชิญคุณลงไปก่อนเถอะ
下山,我们准备下山了。,We are about to go down the mountain.,เราเตรียมตัวจะลงจากเขาแล้ว
下星期,下星期我要考试。,Next week I have an exam.,สัปดาห์หน้าฉันต้องสอบ
下周,下周我们见面吧。,Let's meet next week.,สัปดาห์หน้าเราเจอกันนะ
夏季,夏季游客很多。,There are many tourists in summer.,ฤดูร้อนมีนักท่องเที่ยวเยอะมาก
夏天,夏天天气很热。,Summer weather is very hot.,อากาศฤดูร้อนร้อนมาก
先进,这个技术很先进。,This technology is advanced.,เทคโนโลยีนี้ล้ำสมัยมาก
鲜花,他送了我一束鲜花。,He gave me a bouquet of fresh flowers.,เขามอบดอกไม้สดให้ฉันหนึ่งช่อ
现,他现在很忙。,He is very busy now.,ตอนนี้เขายุ่งมาก
相机,他的相机很贵。,His camera is very expensive.,กล้องของเขาราคาแพงมาก
相同,我们的想法相同。,Our ideas are the same.,ความคิดของเราเหมือนกัน
相信,我完全相信你。,I completely believe you.,ฉันเชื่อคุณอย่างเต็มที่
香蕉,我早上吃了一根香蕉。,I ate a banana this morning.,เช้านี้ฉันกินกล้วยไปหนึ่งลูก
想不起来,我想不起来他的名字。,I can't remember his name.,ฉันนึกชื่อของเขาไม่ออก
想起,我突然想起他了。,I suddenly remembered him.,ฉันนึกถึงเขาขึ้นมาทันที
想想,你再想想吧。,Think it over again.,คุณลองคิดดูอีกทีสิ
想要,我想要一杯水。,I want a glass of water.,ฉันอยากได้น้ำสักแก้ว
想着,我一直想着你。,I've been thinking about you.,ฉันคิดถึงคุณอยู่ตลอด
向东走,请一直向东走。,Please keep walking east.,กรุณาเดินตรงไปทางตะวันออก
向左走,到路口向左走。,Turn left at the intersection.,ถึงทางแยกให้เลี้ยวซ้าย
像,他长得很像爸爸。,He looks a lot like his dad.,เขาหน้าตาคล้ายพ่อมาก
小船,河上有一只小船。,There's a small boat on the river.,บนแม่น้ำมีเรือลำเล็กอยู่ลำหนึ่ง
小孩子,小孩子喜欢吃糖。,Children like to eat candy.,เด็กๆ ชอบกินขนมหวาน
小河,村子旁边有一条小河。,There's a stream next to the village.,ข้างหมู่บ้านมีลำธารสายเล็กๆ
小鸟,树上有一只小鸟。,There's a little bird in the tree.,บนต้นไม้มีนกตัวเล็กอยู่ตัวหนึ่ง
小朋友,小朋友们在公园玩。,The kids are playing in the park.,เด็กๆ เล่นอยู่ในสวนสาธารณะ
小时候,小时候我住在乡下。,I lived in the countryside as a child.,ตอนเด็กๆ ฉันอาศัยอยู่ชนบท
小事,这只是小事，别担心。,"This is just a small matter, don't worry.",นี่แค่เรื่องเล็กน้อย ไม่ต้องกังวล
小心,过马路要小心。,Be careful when crossing the road.,ข้ามถนนต้องระวัง
小熊猫,动物园有小熊猫。,There's a red panda at the zoo.,ในสวนสัตว์มีแพนด้าแดง
小学校长,他是小学校长。,He is an elementary school principal.,เขาเป็นผู้อำนวยการโรงเรียนประถม
小雪,外面下小雪了。,It's snowing lightly outside.,ข้างนอกหิมะตกปรอยๆ
小张,小张是我的同事。,Xiao Zhang is my colleague.,เสี่ยวจางเป็นเพื่อนร่วมงานของฉัน
校,校门口有很多学生。,There are many students at the school gate.,ที่หน้าประตูโรงเรียนมีนักเรียนเยอะมาก
校医院,校医院离宿舍很近。,The school clinic is close to the dorm.,โรงพยาบาลของโรงเรียนอยู่ใกล้หอพักมาก
校长,校长在开会。,The principal is in a meeting.,ผู้อำนวยการกำลังประชุมอยู่
鞋,这双鞋很好看。,These shoes look very nice.,รองเท้าคู่นี้สวยมาก
写错字,他写错字了。,He wrote the wrong character.,เขาเขียนตัวอักษรผิด
写信,我常给朋友写信。,I often write letters to my friend.,ฉันมักเขียนจดหมายถึงเพื่อน
写字,孩子在写字。,The child is writing.,เด็กกำลังเขียนหนังสือ
谢,谢谢你的帮助。,Thank you for your help.,ขอบคุณสำหรับความช่วยเหลือของคุณ
新闻,爸爸在看新闻。,Dad is watching the news.,พ่อกำลังดูข่าว
新鲜,这些水果很新鲜。,These fruits are very fresh.,ผลไม้เหล่านี้สดมาก
信,我给妈妈写信。,I wrote a letter to my mom.,ฉันเขียนจดหมายถึงแม่
信用卡,我用信用卡付钱。,I pay with a credit card.,ฉันจ่ายเงินด้วยบัตรเครดิต
行李,我的行李很重。,My luggage is heavy.,กระเป๋าเดินทางของฉันหนักมาก
行李箱,我的行李箱很重。,My suitcase is very heavy.,กระเป๋าเดินทางของฉันหนักมาก
兴趣,我对音乐有兴趣。,I'm interested in music.,ฉันสนใจดนตรี
兴趣爱好,他的兴趣爱好是画画。,His hobby is drawing.,งานอดิเรกของเขาคือวาดรูป
熊猫,熊猫喜欢吃竹子。,Pandas like to eat bamboo.,แพนด้าชอบกินไผ่
需,这件事需要时间。,This matter requires time.,เรื่องนี้ต้องใช้เวลา
需要,我需要一杯水。,I need a glass of water.,ฉันต้องการน้ำสักแก้ว
许,妈妈不许我看电视。,Mom doesn't allow me to watch TV.,แม่ไม่อนุญาตให้ฉันดูโทรทัศน์
选择,你可以自己选择。,You can choose by yourself.,คุณสามารถเลือกเองได้
学画,她喜欢学画。,She likes learning to paint.,เธอชอบเรียนวาดรูป
学习成绩,他的学习成绩很好。,His academic performance is very good.,ผลการเรียนของเขาดีมาก
牙,他每天刷牙。,He brushes his teeth every day.,เขาแปรงฟันทุกวัน
牙疼,我牙疼得很厉害。,My tooth hurts a lot.,ฉันปวดฟันมากๆ
眼镜,我找不到眼镜了。,I can't find my glasses.,ฉันหาแว่นตาไม่เจอแล้ว
眼里,在他眼里你很好。,"In his eyes, you're great.",ในสายตาของเขาคุณดีมาก
眼中,在妈妈眼中我最好。,"In mom's eyes, I'm the best.",ในสายตาแม่ ฉันดีที่สุด
羊,山上有很多羊。,There are many sheep on the mountain.,บนภูเขามีแกะเยอะมาก
羊城,羊城是广州的别名。,Yangcheng is a nickname for Guangzhou.,เมืองแพะเป็นชื่อเรียกอีกชื่อของกว่างโจว
阳,今天太阳很大。,The sun is very strong today.,วันนี้แดดแรงมาก
要求,老师要求我们认真学习。,The teacher requires us to study hard.,ครูขอให้เราตั้งใจเรียน
爷爷,爷爷喜欢喝茶。,Grandpa likes to drink tea.,คุณปู่ชอบดื่มชา
爷爷奶奶,爷爷奶奶身体很好。,Grandpa and grandma are in good health.,คุณปู่คุณย่าสุขภาพแข็งแรงดี
一把,她拿着一把伞。,She is holding an umbrella.,เธอถือร่มอยู่คันหนึ่ง
一般,他的成绩一般。,His grades are average.,ผลการเรียนของเขาธรรมดาๆ
一步,请你往前走一步。,Please take a step forward.,กรุณาก้าวไปข้างหน้าหนึ่งก้าว
一次,我去过一次北京。,I have been to Beijing once.,ฉันเคยไปปักกิ่งมาครั้งหนึ่ง
一点,我懂一点汉语。,I know a little Chinese.,ฉันรู้ภาษาจีนอยู่บ้างเล็กน้อย
一定,你一定要来。,You must come.,คุณต้องมาให้ได้นะ
一段时间,我们分开一段时间了。,We have been apart for a while.,เราแยกกันมาระยะหนึ่งแล้ว
一分钱,我没有一分钱。,I don't have a single cent.,ฉันไม่มีเงินสักแดงเดียว
一分钟,请等一分钟。,Please wait one minute.,กรุณารอสักหนึ่งนาที
一个碗,桌上有一个碗。,There is a bowl on the table.,บนโต๊ะมีชามอยู่ใบหนึ่ง
一共,这些东西一共多少钱？,How much do these things cost in total?,ของพวกนี้รวมทั้งหมดราคาเท่าไหร่
一会儿,请等我一会儿。,Please wait for me a moment.,กรุณารอฉันสักครู่
一家,我们一家去公园玩。,Our whole family went to the park.,ครอบครัวเราไปเที่ยวสวนสาธารณะกัน
一间,我们住一间房。,We are staying in one room.,เราพักห้องเดียวกัน
一件,我买了一件新衣服。,I bought a new piece of clothing.,ฉันซื้อเสื้อผ้าตัวใหม่มาหนึ่งตัว
一句,他说了一句话。,He said a sentence.,เขาพูดประโยคหนึ่ง
一口,他一口答应了。,He readily agreed.,เขาตอบตกลงทันที
一块儿,我们一块儿去吧。,Let's go together.,เราไปด้วยกันเถอะ
一辆,他买了一辆新车。,He bought a new car.,เขาซื้อรถคันใหม่มาหนึ่งคัน
一路上,一路上我们说说笑笑。,We chatted and laughed the whole way.,ตลอดทางเราพูดคุยหัวเราะกัน
一米,这条鱼有一米长。,This fish is one meter long.,ปลาตัวนี้ยาวหนึ่งเมตร
一年,他学了一年汉语。,He studied Chinese for a year.,เขาเรียนภาษาจีนมาหนึ่งปี
一双,我买了一双鞋。,I bought a pair of shoes.,ฉันซื้อรองเท้ามาหนึ่งคู่
一天,我们玩了一天。,We played for a whole day.,เราเล่นกันทั้งวัน
一条,桌上有一条鱼。,There's a fish on the table.,บนโต๊ะมีปลาอยู่ตัวหนึ่ง
一万,那本书卖了一万本。,That book sold ten thousand copies.,หนังสือเล่มนั้นขายได้หนึ่งหมื่นเล่ม
一万元,这辆车要一万元。,This car costs ten thousand yuan.,รถคันนี้ราคาหนึ่งหมื่นหยวน
一位,来了一位客人。,A guest has arrived.,มีแขกมาหนึ่งท่าน
一箱,他买了一箱苹果。,He bought a box of apples.,เขาซื้อแอปเปิลมาหนึ่งลัง
一样,我们的想法一样。,Our ideas are the same.,ความคิดของเราเหมือนกัน
一直,我一直在等你。,I've been waiting for you the whole time.,ฉันรอคุณอยู่ตลอดเวลา
一只,天上飞着一只鸟。,A bird is flying in the sky.,บนฟ้ามีนกบินอยู่ตัวหนึ่ง
一种,这是一种新的方法。,This is a new kind of method.,นี่คือวิธีการแบบใหม่
一周,我们学习一周了。,We have studied for a week.,เราเรียนมาหนึ่งสัปดาห์แล้ว
以后,以后我会常来。,I'll come often from now on.,ต่อไปฉันจะมาบ่อยๆ
以前,以前这里是公园。,This used to be a park.,เมื่อก่อนที่นี่เป็นสวนสาธารณะ
以为,我以为你不来了。,I thought you weren't coming.,ฉันนึกว่าคุณจะไม่มาแล้ว
易,这个问题很容易。,This problem is very easy.,คำถามนี้ง่ายมาก
音乐,我喜欢听音乐。,I like listening to music.,ฉันชอบฟังเพลง
音乐节目,这是一个音乐节目。,This is a music program.,นี่คือรายการดนตรี
银行,银行离这儿不远。,The bank isn't far from here.,ธนาคารอยู่ไม่ไกลจากที่นี่
饮料,你想喝什么饮料？,What drink would you like?,คุณอยากดื่มเครื่องดื่มอะไร
应,你应早点休息。,You should rest early.,คุณควรพักผ่อนแต่หัวค่ำ
应该,你应该多喝水。,You should drink more water.,คุณควรดื่มน้ำให้มากขึ้น
影响,天气影响了我们的计划。,The weather affected our plans.,สภาพอากาศส่งผลกระทบต่อแผนของเรา
用,你可以用我的手机。,You can use my phone.,คุณใช้โทรศัพท์ของฉันได้
用电,我们要节约用电。,We should save on electricity use.,เราต้องประหยัดการใช้ไฟฟ้า
用来,这个杯子用来喝水。,This cup is used for drinking water.,แก้วนี้ใช้สำหรับดื่มน้ำ
邮件,我给你发了邮件。,I sent you an email.,ฉันส่งอีเมลให้คุณแล้ว
游客,公园里有很多游客。,There are many tourists in the park.,ในสวนสาธารณะมีนักท่องเที่ยวเยอะมาก
游戏,孩子们喜欢玩游戏。,Children like playing games.,เด็กๆ ชอบเล่นเกม
游泳馆,我们去游泳馆游泳。,We're going to the pool to swim.,เราไปว่ายน้ำที่สระว่ายน้ำ
有关,这件事跟他有关。,This matter is related to him.,เรื่องนี้เกี่ยวข้องกับเขา
有借有还,借东西要有借有还。,"When you borrow something, you should return it.",ยืมของแล้วต้องคืน
有没有,你有没有时间？,Do you have time?,คุณมีเวลาไหม
有名,他是一个有名的医生。,He is a famous doctor.,เขาเป็นหมอที่มีชื่อเสียง
有人,门外好像有人。,It seems there's someone outside.,ดูเหมือนจะมีคนอยู่นอกประตู
有时,我有时很忙。,I'm sometimes very busy.,บางครั้งฉันก็ยุ่งมาก
有时候,我有时候很忙。,Sometimes I'm very busy.,บางครั้งฉันก็ยุ่งมาก
有事,我今天有事。,I have something to do today.,วันนี้ฉันมีธุระ
有些,有些人不喜欢喝咖啡。,Some people don't like coffee.,บางคนไม่ชอบดื่มกาแฟ
又,他又迟到了。,He was late again.,เขามาสายอีกแล้ว
右,银行在你的右边。,The bank is on your right.,ธนาคารอยู่ทางขวามือของคุณ
遇到,我在路上遇到了老师。,I ran into my teacher on the way.,ฉันเจอครูระหว่างทาง
遇见,我在路上遇见了老朋友。,I ran into an old friend on the road.,ฉันเจอเพื่อนเก่าระหว่างทาง
愿意,我愿意帮你。,I'm willing to help you.,ฉันยินดีช่วยคุณ
月亮,今晚的月亮很圆。,Tonight's moon is very full.,พระจันทร์คืนนี้เต็มดวงมาก
越,天气越来越冷。,The weather is getting colder and colder.,อากาศหนาวขึ้นเรื่อยๆ
越来越,天气越来越冷了。,The weather is getting colder and colder.,อากาศหนาวขึ้นเรื่อยๆ แล้ว
云南,我很想去云南。,I really want to go to Yunnan.,ฉันอยากไปยูนนานมาก
云南旅游,我们打算去云南旅游。,We plan to travel to Yunnan.,เราวางแผนจะไปเที่ยวยูนนาน
运动鞋,我想买一双运动鞋。,I want to buy a pair of sneakers.,ฉันอยากซื้อรองเท้ากีฬาสักคู่
再慢,你能不能再慢一点？,Could you go a little slower?,คุณช้าลงอีกหน่อยได้ไหม
再说,这件事我们以后再说。,Let's talk about this matter later.,เรื่องนี้เราค่อยคุยกันทีหลัง
在家,今天我在家休息。,Today I'm resting at home.,วันนี้ฉันพักผ่อนอยู่ที่บ้าน
在我心中,你永远在我心中。,You are always in my heart.,คุณอยู่ในใจฉันเสมอ
早点儿,明天早点儿来。,Come a bit earlier tomorrow.,พรุ่งนี้มาแต่เช้าหน่อยนะ
怎么办,这件事怎么办？,What should we do about this?,เรื่องนี้จะทำอย่างไรดี
怎样,你觉得怎样？,What do you think?,คุณคิดว่าอย่างไรบ้าง
怎样才能,怎样才能学好汉语？,How can one learn Chinese well?,ทำอย่างไรถึงจะเรียนภาษาจีนได้ดี
站,前面就是火车站。,The train station is right ahead.,ข้างหน้าคือสถานีรถไฟ
站着不动,他站着不动。,He stood still.,เขายืนนิ่งไม่ขยับ
长大,孩子们都长大了。,The children have all grown up.,เด็กๆ โตกันหมดแล้ว
长胖,最近我长胖了。,I've gained weight recently.,ช่วงนี้ฉันอ้วนขึ้น
长时间,他长时间工作。,He worked for a long time.,เขาทำงานเป็นเวลานาน
照,阳光照在脸上。,Sunlight shines on my face.,แสงแดดส่องมาที่ใบหน้า
照顾,妈妈在照顾孩子。,Mom is taking care of the children.,แม่กำลังดูแลลูก
照片,我们照了很多照片。,We took a lot of photos.,เราถ่ายรูปไปเยอะมาก
照相机,我买了一个照相机。,I bought a camera.,ฉันซื้อกล้องถ่ายรูปมาหนึ่งตัว
这次,这次考试很简单。,This exam was very easy.,การสอบครั้งนี้ง่ายมาก
这段话,这段话很重要。,This passage is very important.,ข้อความช่วงนี้สำคัญมาก
这家,这家饭馆很有名。,This restaurant is very famous.,ร้านอาหารนี้มีชื่อเสียงมาก
这件,这件衣服很漂亮。,This piece of clothing is very pretty.,เสื้อผ้าตัวนี้สวยมาก
这块,这块蛋糕很好吃。,This piece of cake is delicious.,เค้กชิ้นนี้อร่อยมาก
这辆,这辆车很贵。,This car is very expensive.,รถคันนี้แพงมาก
这么晚,你怎么这么晚回来？,Why are you back so late?,ทำไมคุณกลับมาดึกขนาดนี้
这位,这位是我的老师。,This is my teacher.,ท่านนี้คือครูของฉัน
这种,我喜欢这种颜色。,I like this kind of color.,ฉันชอบสีแบบนี้
着急,别着急，慢慢说。,"Don't worry, take your time.",อย่ารีบร้อน ค่อยๆ พูด
真不简单,你真不简单。,You're really impressive.,คุณเก่งจริงๆ
真累,今天工作真累。,Work today was really tiring.,วันนี้ทำงานเหนื่อยจริงๆ
真是,今天真是太热了。,Today is really so hot.,วันนี้ร้อนมากจริงๆ
正要,我正要出门。,I was just about to go out.,ฉันกำลังจะออกจากบ้านพอดี
只,我今天只喝水。,I'm only drinking water today.,วันนี้ฉันดื่มแต่น้ำเปล่า
只能,我今天只能在家。,I can only stay home today.,วันนี้ฉันได้แต่อยู่บ้าน
只怕,只怕明天会下雨。,I'm afraid it will rain tomorrow.,เกรงว่าพรุ่งนี้ฝนจะตก
只是,我只是问问。,I'm just asking.,ฉันแค่ถามเฉยๆ
只要,只要努力就能成功。,"As long as you work hard, you can succeed.",ขอแค่ตั้งใจก็สามารถสำเร็จได้
只有,桌子上只有一本书。,There is only one book on the table.,บนโต๊ะมีหนังสือเพียงเล่มเดียว
中间,他坐在我们中间。,"He sits in the middle, between us.",เขานั่งอยู่ตรงกลางระหว่างเรา
中文,他的中文说得很好。,His Chinese is very good.,เขาพูดภาษาจีนได้ดีมาก
终于,我们终于到家了。,We finally got home.,ในที่สุดเราก็ถึงบ้านแล้ว
种,这种水果很甜。,This kind of fruit is very sweet.,ผลไม้ชนิดนี้หวานมาก
重要,这件事很重要。,This matter is very important.,เรื่องนี้สำคัญมาก
周,我们一周上五天课。,We have classes five days a week.,เราเรียนห้าวันต่อสัปดาห์
周末,周末我在家休息。,I rest at home on weekends.,วันหยุดสุดสัปดาห์ฉันพักผ่อนอยู่บ้าน
主要,这是主要的问题。,This is the main problem.,นี่คือปัญหาหลัก
注意,过马路要注意安全。,Pay attention to safety when crossing the street.,ข้ามถนนต้องระวังความปลอดภัย
祝您,祝您生日快乐。,Wishing you a happy birthday.,ขอให้คุณมีความสุขในวันเกิด
桌,房间里有一张桌子。,There is a table in the room.,ในห้องมีโต๊ะอยู่ตัวหนึ่ง
子,他有一个儿子。,He has a son.,เขามีลูกชายหนึ่งคน
字典,我用字典查生词。,I look up new words in the dictionary.,ฉันใช้พจนานุกรมค้นหาคำศัพท์ใหม่
自己,我自己做饭。,I cook by myself.,ฉันทำอาหารเอง
总会,好事总会发生。,Good things will always happen.,เรื่องดีๆ ย่อมเกิดขึ้นเสมอ
总是,他总是迟到。,He is always late.,เขามาสายอยู่เสมอ
走得慢,爷爷走得慢。,Grandpa walks slowly.,คุณปู่เดินช้า
走动,吃完饭出去走动一下。,Go out and move around a bit after eating.,กินข้าวเสร็จแล้วออกไปเดินเล่นหน่อย
走走,我们去外面走走吧。,Let's go outside for a walk.,เราออกไปเดินเล่นข้างนอกกันเถอะ
嘴,他的嘴很大。,His mouth is big.,ปากของเขาใหญ่มาก
最好,你最好早点睡。,You'd better sleep early.,คุณควรนอนแต่หัวค่ำจะดีกว่า
最后,最后他成功了。,"In the end, he succeeded.",ในที่สุดเขาก็ประสบความสำเร็จ
最近,我最近很忙。,I've been busy recently.,ช่วงนี้ฉันยุ่งมาก
最少,我们最少需要两个人。,We need at least two people.,เราต้องการอย่างน้อยสองคน
最新,这是最新的消息。,This is the latest news.,นี่คือข่าวล่าสุด
昨,昨天我很忙。,I was very busy yesterday.,เมื่อวานฉันยุ่งมาก
昨天晚上,昨天晚上我没睡好。,I didn't sleep well last night.,เมื่อคืนฉันนอนหลับไม่สนิท
昨天下午,昨天下午下雨了。,It rained yesterday afternoon.,เมื่อวานตอนบ่ายฝนตก
左,请你往左转。,Please turn left.,กรุณาเลี้ยวซ้าย
左右,他今年五十岁左右。,He is around fifty years old this year.,ปีนี้เขาอายุประมาณห้าสิบปี
